"Line"	"Crop"	"PlantingDate"	"Rep"	"VideoDate"	"MeanFreq"	"MedianFreq"	"SdFreq"	"Hz0.5"	"Hz0.7"	"Hz0.9"	"Hz1.1"	"Hz1.3"	"Hz1.5"	"Hz1.7"	"Hz1.9"	"'Hz2.1"	"Hz2.3"	"Hz2.5"	"Hz2.7"	"Hz2.9"	"Hz3.1"	"Hz3.3"	"Hz3.5"	"Hz3.7"	"Hz3.9"	"Hz4.1"	"Hz4.3"	"Hz4.5"	"Position"
"58"	"Linkert"	"wheat"	"1"	"B"	"07_12_17"	"1.75"	"1.6667"	"0.893649321403694"	"0.188012"	"1.476878"	"0.48378"	"0.497779"	"0.27947"	"1.221677"	"0.795374"	"4.068867"	"0.82187"	"0.12013"	"0.320653"	"0"	"0"	"0"	"0"	"0.10945"	"0.216289"	"0"	"0.25612"	"0"	"0"	2
"59"	"NDGenesis"	"2row"	"1"	"A"	"07_12_17"	"1.29213393258427"	"1.25"	"0.476045451133173"	"1.565255"	"1.677967"	"2.089994"	"1.98892"	"1.754352"	"2.040923"	"1.615471"	"2.251545"	"0.243069"	"0.27912"	"0.096877"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	1
"60"	"NDGenesis"	"2row"	"1"	"B"	"07_12_17"	"1.40097298701299"	"1.3333"	"0.560936023099513"	"0.312275"	"1.758698"	"0.850748"	"1.226985"	"1.102183"	"1.726703"	"0.275195"	"3.617727"	"0.863043"	"0.47334"	"0"	"0"	"0.163288"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	2
"61"	"NDGenesis"	"2row"	"1"	"C"	"07_12_17"	"1.581645"	"1.5"	"0.575467422360246"	"0.15662"	"1.900808"	"1.672793"	"2.73873"	"1.635749"	"3.761739"	"2.679836"	"2.329681"	"0.687909"	"0.302113"	"0.10239"	"0.12262"	"0"	"0"	"0"	"0"	"0"	"0"	"0.16493"	"0"	"0"	2
"62"	"Pinnacle"	"2row"	"1"	"A"	"07_12_17"	"1.41924049382716"	"1.3333"	"0.687922255254729"	"0.442946"	"2.40449"	"1.606045"	"0.979717"	"1.191791"	"1.575142"	"0.561027"	"2.994641"	"0.10213"	"0"	"0.079319"	"0.11329"	"0"	"0.2041"	"0"	"0"	"0"	"0.17997"	"0.14938"	"0"	"0"	1
"63"	"Pinnacle"	"2row"	"1"	"B"	"07_12_17"	"1.46396540540541"	"1.3333"	"0.623319292291667"	"1.328849"	"1.3301"	"1.084242"	"2.125585"	"1.077539"	"1.329585"	"0.91609"	"3.220315"	"0.43689"	"0"	"0.30835"	"0"	"0"	"0"	"0"	"0.12772"	"0"	"0.1265"	"0"	"0"	"0"	2
"64"	"REINS"	"oat"	"1"	"A"	"07_12_17"	"1.33774388235294"	"1.2083"	"0.600889264806543"	"0.564631"	"1.644317"	"1.708053"	"0.769569"	"0.770113"	"0.969561"	"2.18152"	"1.073879"	"0.991492"	"0.1004"	"0.381262"	"0.087088"	"0"	"0"	"0.10806"	"0"	"0"	"0"	"0"	"0"	"0"	1
"65"	"REINS"	"oat"	"1"	"B"	"07_12_17"	"1.32350033707865"	"1.2917"	"0.564566438349033"	"0.556224"	"2.356063"	"1.339724"	"1.208309"	"1.092422"	"0.771875"	"0.901781"	"1.872874"	"0.841553"	"0.1487"	"0"	"0"	"0.10965"	"0"	"0"	"0"	"0.10909"	"0"	"0"	"0"	"0"	1
"66"	"Shelly"	"wheat"	"1"	"A"	"07_12_17"	"1.67876080645161"	"1.4583"	"0.817966313036957"	"0.11875"	"0.880419"	"0.840229"	"0.875006"	"1.134643"	"0.441413"	"0.604074"	"3.257559"	"0.910202"	"0.214232"	"0"	"0"	"0.097743"	"0"	"0.10096"	"0"	"0"	"0.14983"	"0"	"0.12797"	"0.11754"	2
"67"	"Shelly"	"wheat"	"1"	"B"	"07_12_17"	"1.28983494505495"	"1.2083"	"0.536941530140591"	"0.520147"	"0.508482"	"0.885097"	"4.013031"	"1.165431"	"1.220305"	"0.544542"	"0.25112"	"2.01303"	"0.22025"	"0.081436"	"0.10868"	"0"	"0"	"0"	"0"	"0.11538"	"0"	"0"	"0"	"0"	1
"68"	"StellarND"	"6row"	"1"	"B"	"07_12_17"	"1.73333454545455"	"1.5"	"0.919564639497486"	"0.16629"	"2.040918"	"1.106809"	"0.709191"	"0.303301"	"1.002826"	"1.157853"	"2.078228"	"1.26441"	"0"	"0"	"0"	"0"	"0.164209"	"0"	"0.170762"	"0.400235"	"0"	"0.13467"	"0"	"0"	2
